       llike      AIC      BIC Modelo
1  -2313.060 4636.119 4662.615   opt0
2  -2306.237 4626.475 4663.569   opt1
3  -2304.991 4623.982 4661.076   opt2
4  -2304.965 4625.929 4668.322   opt3
5  -2304.941 4623.882 4660.976   opt4
6  -2298.651 4613.302 4655.695   opt5
7  -2295.498 4608.997 4656.689   opt10 6
8  -2297.600 4611.200 4653.593	 opt11 7
9  -2302.310 4620.619 4663.012   opt10_1 6_1
10 -2296.455 4608.911 4651.304   opt11 8
